iter	Logloss
0	0.6765010892
1	0.6638041491
2	0.6486399489
3	0.6350873898
4	0.620380922
5	0.6058311423
6	0.5929582332
7	0.5802922175
8	0.5685963792
9	0.5584342448
10	0.5491895783
11	0.5408640074
12	0.5314458133
13	0.5223378969
14	0.513683456
15	0.5056609012
16	0.4968910882
17	0.490172526
18	0.4821042418
19	0.4763101588
20	0.470844038
21	0.4651253881
22	0.4604826472
23	0.4550954652
24	0.4504025503
25	0.4462920673
26	0.4417750901
27	0.4371725386
28	0.4326532452
29	0.4286727201
30	0.4244063001
31	0.4202793532
32	0.4153195738
33	0.4120169772
34	0.4090713892
35	0.4061221705
36	0.4034681741
37	0.4013269356
38	0.3975691106
39	0.3948039989
40	0.392412485
41	0.3892916792
42	0.3865066607
43	0.3837246156
44	0.3809448242
45	0.3786851149
46	0.3771446189
47	0.3752788211
48	0.3728091196
49	0.3710785382
50	0.3693214769
51	0.3673634065
52	0.3654643367
53	0.3643034793
54	0.3624245981
55	0.3605721655
56	0.35898281
57	0.3569223257
58	0.355544371
59	0.3540593387
60	0.3528812663
61	0.3510293344
62	0.3494322165
63	0.3483520508
64	0.3470009515
65	0.345768417
66	0.3446005171
67	0.3429929137
68	0.3413917268
69	0.3400933055
70	0.3388085311
71	0.3377976012
72	0.3365703876
73	0.3355158879
74	0.3338137896
75	0.3324935835
76	0.3312160707
77	0.3300085762
78	0.3288902244
79	0.3274604367
80	0.3257872283
81	0.3247896009
82	0.3235439829
83	0.3226037911
84	0.3216699219
85	0.3204213304
86	0.3196841196
87	0.3188008313
88	0.3176221642
89	0.3165214343
90	0.3153124374
91	0.3144935021
92	0.3137619566
93	0.3127023863
94	0.3115385554
95	0.3108161183
96	0.3100242576
97	0.3088654973
98	0.3082408416
99	0.3074158028
100	0.3065049705
101	0.3052173791
102	0.3044823593
103	0.3035919659
104	0.3028289012
105	0.3019086163
106	0.3011571327
107	0.3004713479
108	0.2998746119
109	0.2991006548
110	0.2985323392
111	0.2977490547
112	0.2972639348
113	0.296658779
114	0.2961796374
115	0.2954453375
116	0.2947246219
117	0.2941866987
118	0.2935688351
119	0.2930437137
120	0.2922064052
121	0.291564065
122	0.2910883351
123	0.2905636831
124	0.2900078876
125	0.2892629457
126	0.2885436073
127	0.2879117213
128	0.2873604642
129	0.2868671124
130	0.2863464668
131	0.2858075108
132	0.2851255759
133	0.2842881736
134	0.2834757487
135	0.2825894869
136	0.2821595803
137	0.281322178
138	0.2808890162
139	0.2803350987
140	0.2794663649
141	0.2788665928
142	0.2783860114
143	0.2773924842
144	0.2765510442
145	0.2759314904
146	0.275488563
147	0.2750383739
148	0.274469714
149	0.273820613
150	0.2733521134
151	0.2725744942
152	0.27197034
153	0.2713489083
154	0.2706562375
155	0.2703031413
156	0.2698160807
157	0.2692778759
158	0.2684776893
159	0.2675438514
160	0.2669311523
161	0.2664637169
162	0.2659842623
163	0.265639711
164	0.2649434721
165	0.2644216058
166	0.2639391464
167	0.2634391276
168	0.2626650766
169	0.2622726206
170	0.261625601
171	0.2609971736
172	0.260632512
173	0.2601469539
174	0.2598935484
175	0.2594930639
176	0.2589747815
177	0.2586159418
178	0.2580111303
179	0.257555855
180	0.257089609
181	0.2564800712
182	0.2559260285
183	0.2554904566
184	0.2549663368
185	0.2543245443
186	0.2538333678
187	0.2533202812
188	0.2527375989
189	0.2523241248
190	0.2519663493
191	0.2515022786
192	0.2509910857
193	0.2504200001
194	0.2498899959
195	0.2495086826
196	0.248915953
197	0.2484483455
198	0.2481209466
199	0.2477141082
200	0.2474190893
201	0.2470010298
202	0.2465503556
203	0.2461355982
204	0.2458258213
205	0.2455044634
206	0.2450394851
207	0.2446829458
208	0.2442784706
209	0.2438049629
210	0.243199056
211	0.242813486
212	0.2425311436
213	0.2420410626
214	0.2417408479
215	0.2414483173
216	0.2411249249
217	0.2406858943
218	0.2404065411
219	0.2399836614
220	0.2395106545
221	0.2391509227
222	0.2388276555
223	0.2384316156
224	0.238086407
225	0.2377157515
226	0.2373150635
227	0.2370363206
228	0.2367284687
229	0.2364023531
230	0.236018755
231	0.2357047057
232	0.2352332795
233	0.2347028057
234	0.2342722105
235	0.2339357034
236	0.2337023926
237	0.2332943647
238	0.2330534793
239	0.2325407684
240	0.2322579878
241	0.231903577
242	0.2316267591
243	0.2314038086
244	0.2310363457
245	0.2306326998
246	0.2303898894
247	0.2302192727
248	0.2299590438
249	0.2296154472
250	0.2293670185
251	0.2290171462
252	0.2287648362
253	0.2284810697
254	0.2280754833
255	0.2277631085
256	0.2273724365
257	0.227046274
258	0.2265543307
259	0.2260934683
260	0.2257874161
261	0.2254819899
262	0.2250113463
263	0.224652037
264	0.224344232
265	0.2239313527
266	0.2235455635
267	0.223199369
268	0.223007296
269	0.2224598107
270	0.2221759659
271	0.221932999
272	0.2215965232
273	0.2212093568
274	0.2208392803
275	0.2205461238
276	0.2200336476
277	0.2196969683
278	0.2193485514
279	0.218949898
280	0.2186726262
281	0.2183542105
282	0.2181037785
283	0.2178769938
284	0.2175049454
285	0.2171084047
286	0.2167713028
287	0.2164446239
288	0.2162199363
289	0.2159638077
290	0.2157337521
291	0.2153477752
292	0.2149665715
293	0.2146822416
294	0.2141328469
295	0.2137302496
296	0.2133966221
297	0.2130104104
298	0.2127947216
299	0.2124067571
300	0.212128468
301	0.2116529729
302	0.2114282227
303	0.2111224522
304	0.2107498873
305	0.210461864
306	0.2101314447
307	0.2098934858
308	0.2095537078
309	0.2092338992
310	0.2088619917
311	0.2086528915
312	0.2083671061
313	0.208136581
314	0.2077871782
315	0.2075148049
316	0.2072624167
317	0.2069731571
318	0.2066800788
319	0.2062285281
320	0.2059959998
321	0.2054626465
322	0.2051275322
323	0.2049096054
324	0.2046652143
325	0.20437813
326	0.2039973645
327	0.2036178824
328	0.2033301564
329	0.2030738557
330	0.2028167881
331	0.2026585662
332	0.2024500138
333	0.2022623385
334	0.2020260855
335	0.2018041366
336	0.2015987768
337	0.2013220997
338	0.2010273312
339	0.2008501728
340	0.2005024289
341	0.2001805545
342	0.200020752
343	0.1998426388
344	0.1996069179
345	0.1993425262
346	0.1991252254
347	0.1989604304
348	0.1986602157
349	0.1984788161
350	0.1981881323
351	0.1979904723
352	0.1977697441
353	0.1974349584
354	0.1971953563
355	0.1969286796
356	0.1966813777
357	0.1963806152
358	0.1960057655
359	0.1956714493
360	0.1953801082
361	0.195122399
362	0.1948383977
363	0.1945812206
364	0.1943105688
365	0.1938937143
366	0.1936049398
367	0.1933025028
368	0.1930845916
369	0.1928525015
370	0.192667205
371	0.1923631091
372	0.1920631135
373	0.1918020082
374	0.1914268142
375	0.1911374919
376	0.1908833509
377	0.1905074995
378	0.1903074607
379	0.189953848
380	0.1896596116
381	0.1894671318
382	0.1891876847
383	0.1888145721
384	0.1883981871
385	0.1881429975
386	0.1878990447
387	0.1875991274
388	0.1874039088
389	0.1871113939
390	0.1866498742
391	0.1863115047
392	0.1860533416
393	0.1855600523
394	0.1853095108
395	0.1850321765
396	0.1847991943
397	0.1846083734
398	0.1842954821
399	0.1840507938
400	0.1838779704
401	0.183444699
402	0.1830751859
403	0.1828981057
404	0.182639661
405	0.1823900898
406	0.1822014755
407	0.1819030449
408	0.1815770702
409	0.181211407
410	0.1810102727
411	0.1807629082
412	0.1805802722
413	0.1802068309
414	0.1797529172
415	0.1795829421
416	0.179341462
417	0.1791100448
418	0.1788212546
419	0.1782696377
420	0.1779441168
421	0.1776954064
422	0.1773378656
423	0.176993596
424	0.1764929199
425	0.1762349447
426	0.1759520858
427	0.1756473326
428	0.1754643054
429	0.1751950464
430	0.1745658992
431	0.1744149389
432	0.1740342204
433	0.1737774189
434	0.1735540928
435	0.1733284192
436	0.1730227583
437	0.1728088222
438	0.1725791892
439	0.1723946909
440	0.172214199
441	0.1720300606
442	0.1718453588
443	0.1716876847
444	0.1713691907
445	0.1710837496
446	0.170862865
447	0.1705682373
448	0.1702992757
449	0.1701043545
450	0.1698376308
451	0.1694991987
452	0.169231943
453	0.169048102
454	0.1688215989
455	0.1686626884
456	0.1681423715
457	0.1678526893
458	0.1675849171
459	0.167388603
460	0.1671826015
461	0.1669961313
462	0.1667201272
463	0.166486613
464	0.166262207
465	0.1660582088
466	0.1658333646
467	0.1656724822
468	0.1653875889
469	0.1649633789
470	0.1647897574
471	0.1645041128
472	0.1642947153
473	0.1638438689
474	0.1636464593
475	0.1634787222
476	0.1629406112
477	0.162736879
478	0.1625410814
479	0.1623337966
480	0.1621219576
481	0.1619172238
482	0.1616414232
483	0.1614515725
484	0.1610038249
485	0.1608004056
486	0.160544371
487	0.1602985558
488	0.1601249499
489	0.1598740798
490	0.1596630546
491	0.1595002942
492	0.1592841515
493	0.1590002128
494	0.1588074043
495	0.1585944856
496	0.1583529898
497	0.1582103553
498	0.1580215532
499	0.1578648337
500	0.1574598733
501	0.1572098796
502	0.1570204515
503	0.1567693935
504	0.1564254056
505	0.156078053
506	0.1557409042
507	0.1554749005
508	0.1552824206
